name,description,key_skills,department,salary_from,salary_to,area.name,published_at
Веб-дизайнер,"Разработка и поддержание фирменного стиля компании. Разработка баннеров, картинок, иконок для сайта, постов для соц сетей. Создание макетов печатной продукции...",,,30000,,Самара,2022-12-20T13:23:37+0300
Middle+ Python Developer / TeamLead,Разрабатывать новые компоненты нашего продукта с нуля. Участвовать в разработке архитектуры. Проводить code-review коллег. Улучшать существующую часть продукта. ,"Писать код, много кода. Опыт коммерческой разработки на Python от 3х лет. Опыт работы с асинхронными фрейворками FastAPI/aiohttp. ",,1000000,,Алматы,2022-12-20T13:14:38+0300
Аналитик (фармацевтическая отрасль),"Работа с аналитическими базами компании (создание, поддержка, аналитико-статистическая обработка информации). Расчет качественных и количественных показателей, проверки рейтингов препаратов, производителей. ",Высшее образование. Желателен опыт работы в фармацевтической компании. Углублённые знания и навыки Excel (экспертное владение сложными формулами и сводными таблицами...,,70000,,Москва,2022-12-20T13:32:05+0300
Техник,"Выполняет все работы, связанные с эксплуатацией, ремонтом и аварийным восстановлением режимов работы оборудования, эксплуатируемого в учреждении.",,,40000,,Сочи,2022-12-20T13:37:52+0300
Ведущий аналитик системы документооборота,"Выявление, анализ, уточнение и согласование требований с внутренним заказчиком по развитию платформы Атом.Контент. Описание требований (интеграционных, функциональных и др.), описание...","Высшее образование. Опыт работы - От 1 до 3лет. Опыт разработки и подготовки документации, включая инфраструктурную документацию. Опыт работы техническим...",,,200000,Москва,2022-12-20T13:47:50+0300
Менеджер проектов / Младший менеджер по работе с клиентами,Нести ответственность за достижение показателей проектов и выполнение всех обязательств. Отвечать на письменные входящие запросы клиентов. Помогать в подготовке к...,Вы должны быть очень ответственным. Опыт работы от 2х лет. Опытный пользователь MS Office. Отличные аналитические навыки.,,50000,,Москва,2022-12-20T13:33:39+0300
Оператор линии поверхностного монтажа,"Подготовка, запуск и обеспечение бесперебойной работы автоматической линии поверхностного монтажа печатных плат. Обслуживание участка поверхностного монтажа - автомат, конвейер, установщик ЭРЭ...","Опыт работы в данной должности от года. Высшее техническое образование, навык конструирования электрорадиоэлементов (ЭРЭ). Дополнительным преимуществом будет опыт написания программ...",,48000,,Омск,2022-12-20T13:44:52+0300
Инженер по технической поддержке,"Техническое консультирование клиентов по телефону, электронной почте, интернет по работе в ПО АСКОН. Техническая поддержка, анализ и обработка предложений клиентов...","Высшее техническое образование. Знание продуктов: КОМПАС-3D, ЛОЦМАН:PLM, САПР ТП Вертикаль, ПОЛИНОМ:MDM. Общее понимание задач, решаемых CAD...",,55000,,Ижевск,2022-12-20T13:19:28+0300
Электромеханик,"Обеспечение исправного состояния, безаварийную и надежную работу обслуживаемых устройств и оборудования. Проведение инструктажей о правилах эксплуатации оборудования. Ликвидация неисправностей в...",Опыт работы электромехаником от 3 лет.,,53000,60000,Тольятти,2022-12-20T13:24:59+0300
Специалист IT отдела,"Техническое обслуживание компьютерной и оргтехники. Обеспечение бесперебойной работы сетевой инфраструктуры, телефонии, доступа к сети Интернет. Поддержка пользователей в т.ч. ","Знание основ IT-технологий (Active Directory, DNS, DHCP, LDAP, СХД, NAT, IPv4, HTTP, SSL, модель OSI, виртуализация, Windows Server...",,30000,40000,Нижний Новгород,2022-12-20T13:33:11+0300
Фрезеровщик ЧПУ,Изготовление серийной продукции фирмы. Изготовление рекламной продукции на станках. Производить технический осмотр оборудования. Планирование своей рабочего времени в среде производства.,Необходимые знания: Умение располагать изделия в графическом редакторе CorelDraw. Опыт работы в программе ArtCam. Опыт работы с инструментами измерений. ,,200000,,Павлодар,2022-12-20T13:50:00+0300
Руководитель проекта,Управление проектом от стадии заключения договора до стадии сдачи объекта в эксплуатацию. Работа с проектной организацией (авторским надзором). ,"Высшее образование, строительное или техническое. Опыт ведения проектов строительства гражданских зданий от 3-х лет с «0» до ввода в...",,100000,150000,Саранск,2022-12-20T13:52:07+0300
Монтажница/монтажник РЭА и П,Монтаж печатных плат. Объемный монтаж. Ручная пайка РЭА. Обнаружение и устранение дефектов монтажа. Очистка от флюсов и загрязнений.,Опыт работы не менее 1 года. Начальное профессиональное образование.,,55000,,Омск,2022-12-20T13:29:42+0300
Специалист технической поддержки сотрудников банка,"Работа с внутренними пользователями Банка, в системе Service Desk. Прием обращений от сотрудников Банка (настройка почтовых клиентов, сброс паролей в...","Уверенный ли Вы пользователь ПК (ОС Windows , MS Office ). Опыт установки и настройки ПО, опыт удаленного решения проблем пользователей. ",,42000,42000,Самара,2022-12-20T13:58:45+0300
Дизайнер коммерческих интерьеров,,"Опыт дизайнером коммерческих интерьеров. Предпочтение - офисы, коворкинги и др. общественные пространства.  Опыт работы с авторским надзором.",,100000,300000,Москва,2022-12-20T13:46:09+0300
Дизайнер 3д визуализатор,"3Д дизайн интерьера, Архитектуры. Сборка сцен в 3d maх. Визуализация Corona Render. Финальная постобработка. Составление дизайн - бордов, подбор...","Наличие художественного вкуса. Базовое знание программ Archicad, 3D maх + Corona render, Photoshop. Ответственность. Работа на результат.",,10000,35000,Бишкек,2022-12-20T13:56:56+0300
Системный администратор,"Техническая поддержка пользователей, диагностика неисправностей и настройка оборудования. - Техническое обслуживание информационных систем. - Техническое обслуживание торгового оборудования. - Организация ремонта неисправного оборудования.","Опыт администрирования сетей под управлением MS Windows (установка, настройка, администрирование). - Приветствуется опыт администрирования MS Windows Server. - Опыт настройки почтовых и...",,,75000,Сургут,2022-12-20T13:16:20+0300
Выпускающий редактор,"Мониторить новостную повестку и находить интересные инфоповоды. Рерайтить, редактировать и стилистически править материалы. Контролировать трафик. Выводить в топ новостных агрегаторов...","Опыт работы на схожей позиции от 3 лет. Разбираться в информационной повестке региона. Оперативность, умение работать в режиме breaking news. ",,40000,,Оренбург,2022-12-20T13:07:34+0300
Инженер в сервисный центр,"Диагностика и ремонт неисправностей электронных плат оборудования АПС, домофонии, учета энергоресурсов, видеонаблюдения собственного производства. Замена элементов электронных плат. Блочный ремонт. ","Образование: Среднее или высшее. Опыт работы: От 1 года. Навыки модульного и компонентного ремонта. Знание основных аппаратных неисправностей, методов диагностики...",,55000,60000,Москва,2022-12-20T13:43:04+0300
Инженер по защите информации,"установка и настройка сетевых программных и программно-аппаратных средств защиты информации (межсетевые экраны, криптомаршрутизаторы, средства обнаружения/предотвращения вторжений, аналогичное по...","высшее образование в сфере информационной безопасности или технической специализации. - хорошее знание и понимание сетевых технологий, принципов построения локальных и корпоративных...",,34500,40000,Ростов-на-Дону,2022-12-20T13:36:54+0300
.Net разработчик (backend),"Разработка back-end (business logic layer и data access layer) на платформе .NET. Поддержка, расширение функционала существующих сайтов.","Знание архитектуры .Net, ASP.NET. Уверенное владение С#, SQL. Навыки объектно-ориентированного проектирования ПО (design patterns). Опыт разработки web-services. ",,45500,85000,Ростов-на-Дону,2022-12-20T13:52:16+0300
Ведущий системный администратор,"Поддержание инфраструктуры в рабочем состоянии. Установка и поддержка серверного программного обеспечения; . Администрирование АD,OC Windows Server 2003,2008,2012,2016...","Профильное среднее -специальное, высшее образование. Опыт работы от трех лет в организации со штатом более 50 чел.",,60000,,Казань,2022-12-20T13:24:46+0300
Наладчик станков с ЧПУ,,"Знание стоек Сименс, Фанук. Опыт работы от 1 года. Ответственность. Дисциплинированность.",,50000,,Курган,2022-12-20T13:36:59+0300
Программист 1С,"Установка программ, обновление типовых конфигураций (1С 8.3), рабочих баз, доработка функционала программы. Настройка и создание новых отчетов, обработок...","Соответствующее образование, опыт работы. Знание типовых конфигураций. Ответственный подход к выполнению поставленных задач.",,85000,,Улан-Удэ,2022-12-20T13:42:20+0300
Старший IT-специалист по поддержке гостиничных систем,Администрировать ИТ системы отелей и обеспечивать поддержку в рабочем и исправном состоянии. Анализировать причины отказов и нарушений в работе ИТ...,Высшее профессиональное или среднее техническое образование. Стаж работы по аналогичным направлениям не менее 3 года. Опыт поддержки работы пользователей. ,"{'id': '1124351-1124351-red', 'name': 'Красная Поляна, НАО'}",69000,82000,Сочи,2022-12-20T13:10:57+0300
Программист C/С++,"Разработка программного обеспечения для нужд лаборатории ускорительной техники. Программирование АЦП, ЦАП и прочих аналогичных девайсов по протоколам CAN, Camac. ",Высшее профессиональное техническое образование. Знание С/ С++. Опыт программирования клиент-серверных приложений. Опыт работы и программирования под Linux. ,,50000,60000,Новосибирск,2022-12-20T13:02:09+0300
Управляющий развлекательным центром,"Контроль работы развлекательного центра, его бесперебойная работа. Управление работой персонала: организация и контроль приема, обучение и адаптация. Контроль соблюдения должностных...",Высшее образование. Опыт работы на руководящих должностях не менее 1 года. Умение быстро и качественно работать и организовывать работу других...,,60000,,Курск,2022-12-20T13:24:04+0300
Системный администратор,Установка и восстановление рабочих мест пользователей. Поддержка в рабочем состоянии сетевой инфраструктуры организации. Обслуживание системы безопасности организации. Обеспечение работоспособности аппаратных...,Знание основных направлений развития средств связи и сетевых коммуникаций. Знание основных направлений развития средств ремонта вычислительной техники. Знание предмета деятельности...,,33000,35000,Миасс,2022-12-20T13:51:08+0300
Ведущий специалист отдела технической защиты информации,Проведение единой технической политики в области защиты информации в исполнительных органах государственной власти Свердловской области и органах местного самоуправления муниципальных...,Высшее образование по специальности: Информационная безопасность. Знание законодательства: Федеральный закон от 7 июля 2003 года  126-ФЗ «О связи»; Федеральный...,,46500,,Екатеринбург,2022-12-20T13:08:19+0300
Монтажник для доработки изделий,"Компетенции предприятия находятся в областях: датчики (физических величин), осветительные приборы и системы, источники электропитания, видеонаблюдение, охранные и пожарные сигнализации и...",,,60000,,Тверь,2022-12-20T13:33:43+0300
Технический писатель,"Разработка сопроводительной текстовой документации на оборудование, передаваемое в производство - инструкции, этикетки, паспорта, руководства по эксплуатации, методики и программы проверки и...","Высшее техническое образование. Опыт работы от 1 года. Знание ЕСКД в части разработки эксплуатационной документации. Знание программ: MS Office, Auto...",,80000,,Москва,2022-12-20T13:16:30+0300
Специалист технической поддержки (1 линия),Работа с обращениями на сервисное обслуживание от Заказчиков и сотрудников внутренних подразделений Компании. Проверка данных в обращениях на полноту и...,"Что Вы уверенный пользователь ПК. Имеете опыт работы с Windows 7/10, MS Office. Умеете оперативно обрабатывать входящую информацию. ",,30000,,Самара,2022-12-20T13:58:54+0300
Иллюстратор по технической части,"Отрисовка принта и подготовка его к печати. Заполнение документов для печати. Подбор цветов, подготовка лекал на печать. Изучение трендов и...","Креативное мышление, фантазия. Заинтересованность тенденциями мировой моды. Знание CoralDraw, Photoshop, AdobeIllustrator. Знание подготовки рисунка к печати приветствуется.",,1000,,Брест,2022-12-20T13:21:22+0300
Менеджер BIM,"Проведение встреч, переговоров и презентаций. Формирование технико-коммерческих предложений. Сопровождение сделок и проектов. Организация пилотных проектов и проектов внедрения, управление...","Человек с активным отношением к жизни и окружающим, который понял, что не может жить без увлекательной работы, новых контактов и...",,45000,70000,Ижевск,2022-12-20T13:04:13+0300
Аналитик в Управление HR,Работа с большим объемом данных. Работа в Excel и Google таблицах. Анализ поступающих данных и их распределение. Работа по оптимизации...,"Желание развиваться в сфере HR. Грамотная устная и письменная речь, умение ясно выражать свои мысли. Умение работать с большими объёмами...","{'id': '68587-68587-hr', 'name': 'Алабуга. Human Resources '}",38000,70000,Ижевск,2022-12-20T13:18:25+0300
Аналитик в Управление HR,Работа с большим объемом данных. Работа в Excel и Google таблицах. Анализ поступающих данных и их распределение. Работа по оптимизации...,"Желание развиваться в сфере HR. Грамотная устная и письменная речь, умение ясно выражать свои мысли. Умение работать с большими объёмами...","{'id': '68587-68587-hr', 'name': 'Алабуга. Human Resources '}",38000,70000,Уфа,2022-12-20T13:18:25+0300
Full-stack разработчик (Python),"Работает преимущественно с новыми проектами, с минимальной поддержкой легаси.","В фазе активного роста с 2019 года. - Стек: python, aiohttp, async.io, vue.js, react.js. - Желание изучать и применять новые вещи, технологии.",,150000,250000,Москва,2022-12-20T13:40:01+0300
Junior\Middle Frontend Developer (Angular),До встречи в «СЕВСТАР»!,"Какие знания необходимы: Опыт коммерческой разработки от 1 года на Angular. Владение Javascript (TypeScript), HTML, CSS (SCSS/LESS), Node.js (+npm). ",,,100000,Севастополь,2022-12-20T13:34:11+0300
Ведущий инженер УИТ,"обеспечение бесперебойной работы оргтехники (системные блоки, мониторы, принтеры и МФУ, сетевое оборудование). - строгое соблюдение трудовой и производственной дисциплины.","образование: высшее или среднее профессиональное. - опыт работы от 1 года. - знание конфигураций 1С 8.3 УПП, 1С 8...",,,23200,Волжский (Волгоградская область),2022-12-20T13:03:49+0300
Координатор (техническая поддержка),Ведение отчета по обращениям и обработка обращений. Работа в заявочной системе (Service Desk). Анализ перемещений расходных материалов. Отслеживание доставок расходных...,"Наличие организационных и административных навыков. Уверенный пользователь ПК (Пакет MS Office, в т.ч. обяз. Excel – сводные таблицы, ВПР). ",,35000,35000,Самара,2022-12-20T13:58:39+0300
Токарь,Работа на токарных станках 16к20.,"Приветствуется опыт работы на 1к62, Б16Д25, ДИП 200, ДИП 300. Требования: Образование-средне-специальное. ",,45000,,Екатеринбург,2022-12-20T13:49:35+0300
Аналитик в Управление HR,Работа с большим объемом данных. Работа в Excel и Google таблицах. Анализ поступающих данных и их распределение. Работа по оптимизации...,"Желание развиваться в сфере HR. Грамотная устная и письменная речь, умение ясно выражать свои мысли. Умение работать с большими объёмами...","{'id': '68587-68587-hr', 'name': 'Алабуга. Human Resources '}",38000,70000,Казань,2022-12-20T13:18:25+0300
Менеджер продукта (ECM-платформа для управления корпоративным содержимым),"Развитие ИТ-Продукта ГК Росатом (ECM-платформа для управления корпоративным содержимым). Управление продуктовой командой. Анализ внешнего и внутреннего рынка, анализ...",Высшее образование. Опыт работы - От 3 до 6 лет. Опыт управления продуктовой командой. Опыт формирования стратегии и плана развития продукта. ,,,250000,Москва,2022-12-20T13:34:55+0300
SQL developer (middle),Разработка нового функционала. Поддержка текущих продуктов.,"Владение SQL (предпочтительно PostgreSQL, PL/pgSQL). но готовы брать с опытом других БД, если вы открыты к обучению. ",,,130000,Севастополь,2022-12-20T13:34:04+0300
Распиловщик/Оператор станка ЧПУ,Основная задача должности: изготовление необходимого количества деталей согласно технической документации. Какие процессы будут способствовать выполнению задачи: Изготовление деталей мебели согласно...,,,50000,,Барнаул,2022-12-20T13:44:31+0300
Главный механик,Организация и контроль работы слесарей/механиков. Открытие/закрытие заказ-нарядов. Составления графика ТО. Обеспечение качественного и быстрого ремонта А/М. ,Опыт работы. Знание 1 с. Уверенный пользователь ПК.,,60000,100000,Ярославль,2022-12-20T13:04:31+0300
"Инженер по монтажу оборудования спутникового мониторинга (GPS-трекеры, дополнительные датчики)","Монтаж оборудования GPS-мониторинга (трекеры, датчики уровня топлива, проточные расходомеры и др.) на транспортные средства различных марок и моделей, диагностика...","Специалиста со знанием технического устройства и наличием опыта ремонта автомобилей. Ответственного, умеющего работать в команде и готового к командировкам специалиста. ",,1100,2000,Полоцк,2022-12-20T13:21:26+0300
Проджект в онлайн школу по маркетплейсам,"Работа с продуктом Ozon, его реализация с целью привлечения новых респондентов. Улучшение и обновления действующего курса. Менеджмент проекта: постановка задач...","Успешный опыт продюссирования или работы Проджектом, опыт разработки подобных продуктов. Умение ставить задачи подрядчикам, контролировать и понимать весь процесс ведения...",,80000,100000,Москва,2022-12-20T13:09:47+0300
Аналитик в Управление HR,Работа с большим объемом данных. Работа в Excel и Google таблицах. Анализ поступающих данных и их распределение. Работа по оптимизации...,"Желание развиваться в сфере HR. Грамотная устная и письменная речь, умение ясно выражать свои мысли. Умение работать с большими объёмами...","{'id': '68587-68587-hr', 'name': 'Алабуга. Human Resources '}",38000,70000,Набережные Челны,2022-12-20T13:18:25+0300
Инженер-программист,Программирование в среде 1С. Разработка в типовых и доработанных конфигурациях. Обновление типовых и доработанных конфигураций. Написание новых и доработка...,Опыт работы от 2-х лет. Знание языка программирования 1С 8.3. Знание языка запросов 1С. ,,88000,,Салехард,2022-12-20T13:38:28+0300
Бизнес-аналитик,Сбор и выявление функциональных и нефункциональных требований к системе 1С.УЗ. Согласование зафиксированных требований с участниками процесса (смежные команды). ,Опыт работы аналитиком от 1 года (доп. преимущество опыт работы с 1С). Высшее образование. Знание стандартов описания и моделирования...,,50000,,Новосибирск,2022-12-20T13:04:48+0300
Слесарь-механик,"Прием документов у водителей, проверка и закрытие отчетов. -Занесение данных в таблицу. - Составление и ведение графиков работы водителей, ремонтов ТС...",Знания и изучение техники КАМАЗ 5490 НЕО.,,40000,60000,Нижний Новгород,2022-12-20T13:47:45+0300
Инженер (обслуживание вычислительной техники),"Обеспечение бесперебойной работы компьютерного оборудования, оргтехники и программного обеспечения. Настройка клиентских ОС (Windows 7-10). Работы по обслуживанию ЛВС. ","Высшее образование (профильное). Опытный пользователь ПК. Знание принципов работы ЛВС. Опыт самостоятельной диагностики, мелкого ремонта ПК и оргтехники (на уровне...",,30000,,Омск,2022-12-20T13:25:20+0300
Руководитель группы инжиниринга,Разработка и выполнение мероприятий по внедрению систем комплексного подхода работы оборудования без простоев и поломок для особо сложного и уникального...,"Образование высшее техническое. Стаж работы не менее 3-х лет в области диагностики работы, ремонта и технического обслуживания оборудования. ",,66000,,Нижний Новгород,2022-12-20T13:19:34+0300
Руководитель интернет-проекта,Взаимодействие с ключевым заказчиком (Ростелеком) на предмет продвижения услуг через web-дилерство. Курирование подрядчиков по продвижению партнерского сайта. ,Опыт работы на аналогичной позиции от 2-х лет. Опыт управления проектами по продвижению различных ресурсов - обязательно. Уверенное знание инструментов...,,110000,130000,Москва,2022-12-20T13:43:10+0300
Аналитик в Управление HR,Работа с большим объемом данных. Работа в Excel и Google таблицах. Анализ поступающих данных и их распределение. Работа по оптимизации...,"Желание развиваться в сфере HR. Грамотная устная и письменная речь, умение ясно выражать свои мысли. Умение работать с большими объёмами...","{'id': '68587-68587-hr', 'name': 'Алабуга. Human Resources '}",38000,70000,Менделеевск,2022-12-20T13:18:26+0300
Программист 1 С,"Адаптация текущей конфигурации УТ 11.4 и 11.5 под задачи компании. Написание новых отчётов, обработок. Интеграция 1С со...",Опыт работы от 3-х лет на аналогичной позиции. Знание типовых конфигураций УТ и БП. Опыт работы с различными системами...,,100000,120000,Санкт-Петербург,2022-12-20T13:47:07+0300
Оператор станков с ЧПУ,"Механическая обработка изделий на токарных станках с ЧПУ, фрезерных станках с ЧПУ.","Средне - специальное, среднетехническое образование. Профессиональный опыт обязателен.",,35000,45000,Миасс,2022-12-20T13:38:55+0300
Токарь-универсал,Токарная обработка и доводка сложных экспериментальных и ответственных деталей и инструментов с большим числом переходов и установок на универсальных токарных...,"Образование-средне-техническое или наличие документа, подтверждающего квалификацию токаря-универсала. Опыт работы токарем обязателен. Обязательно умение читать чертежи. ",,37500,,Екатеринбург,2022-12-20T13:49:13+0300
Токарь 5 разряда,Обработка деталей на токарном станке.,Опыт работы не менее года. Среднее профессиональное образование.,,60000,90000,Санкт-Петербург,2022-12-20T13:40:53+0300
Фрезеровщик,Выполнение фрезерных работ на горизонтальных и вертикальных станках. Чтение чертежей согласно технологической обработки.,"опыт работы не менее 1 года, уровень квалификации от 3 разряда.",,40000,,Чебоксары,2022-12-20T13:44:24+0300
Руководитель проектов по слаботочным системам (ИТСО),Осуществлять подготовку технико-коммерческих предложений. Обеспечивать своевременное и качественное выполнение договора на протяжении всего жизненного цикла. Вырабатывать технические решения. ,Больше пяти лет занимались проектированием и внедрением слаботочных систем (ИТСО). Выполнили больше пяти крупных проектов (желательно на промышленных предприятиях) и...,,80000,130000,Казань,2022-12-20T13:21:43+0300
Специалист по информационным системам (НСИ),"Создание справочников в АСУ НСИ (структура, наполнение, выделение характеристик, правила формирования и заполнения элементов справочников, установка связей и зависимостей между...",Высшее образование в области машиностроения или IT. Знание и практика применения ISO 55001 приветствуется. Знание основ администрирования 1С приветствуется. ,,85000,,Москва,2022-12-20T13:24:18+0300
Инженер технической поддержки VIP пользователей,"Поддержка автоматизированных рабочих мест Руководства Банка - выполнение работ по созданию, модернизации и по обеспечению работоспособности автоматизированных рабочих мест (платформа Windows...","Знание английского языка: свободное чтение технической литературы, способность общаться с англоговорящим пользователем (базовая). Профессиональные знания в области архитектуры ПК. ",,120000,120000,Москва,2022-12-20T13:58:58+0300
Техник ИТ и ТВ в концертный зал,"Установка, настройка, модернизация, осуществление технического сопровождения и обслуживания: рабочих станций; программного обеспечения; офисной оргтехники и оборудования. Монтаж и прокладка СКС. ",Работа в ServiceDesk. Умение диагностировать неисправность в ЛВС. Навыки монтажа ЛВС. Знание ОС windows.,"{'id': 'CG-37318-kch', 'name': 'Крокус Сити Холл'}",,63000,Москва,2022-12-20T13:40:09+0300
Системный администратор,Обеспечение функционирования ИТ-инфраструктуры компании. Подключение новых рабочих мест (установка и настройка ПО). Поддержка информационной безопасности. Обслуживание серверного оборудования и...,Высшее техническое образование. Опыт работы инженером/системным администратором от 1 года. Знание аппаратной части персонального компьютера и периферийных устройств. ,,,50000,Казань,2022-12-20T13:25:19+0300
Токарь,Токарная обработка и доводка сложных деталей и инструментов с большим числом переходов. Обтачивание наружных и внутренних фасонных поверхностей с труднодоступными...,Среднее профессиональное образование по профессии. Опыт работы по профессии от одного года. Умение читать чертежи.,,45000,,Нижний Новгород,2022-12-20T13:40:20+0300
Системный администратор,"Мелкий ремонт компьютерного и серверного оборудования, основных его узлов, установка операционной системы, настройка. Минимальные знания BIOS. Работа с Microsoft Office...",Высшее образование (инженер) или средне-техническое (техник). Опыт работы на аналогичной должности инженером не менее года. Минимальные знания BIOS. ,,58000,58000,Москва,2022-12-20T13:52:22+0300
Системный аналитик 1С / Аналитик 1C / Технический писатель,"Сбор и анализ требований на доработку систем от бизнес-подразделений. Разработка концептов, спецификаций к системе. Анализ функциональных заданий. ","Знание методик и инструментов описания бизнес-процессов. Опыт разработки функциональных (технических) заданий, спецификаций. Опыт ведения интервью с Заказчиком с низким...",,,126000,Нижний Новгород,2022-12-20T13:36:29+0300
Инженер по ремонту раций,"Тестирование радио-оборудования. Ремонт радио-оборудования. Выдача и учет тест-раций. Заказ запчастей из Китая, тех поддержка клиентов. ","Умение паять! Опыт работы от 1 года. Готовность усердно работать и развиваться. Желательно высшее образование, но не обязательно.",,60000,80000,Москва,2022-12-20T13:47:44+0300
Главный механик по станочному оборудованию,Содержание станочного оборудования на требуемом уровне точности. Организация контроля выполнения графиков и профилактических ремонтов станочного оборудования. Участие в работах по...,Должен знать: принципы организационно-технологической структуры; организацию эксплуатационной и ремонтной службы; технические характеристики и производственные мощности предприятия; правила составления технической...,,65000,,Курган,2022-12-20T13:37:00+0300
Инженер-электроник,Работа в отделе главного механика. Ремонт металлообрабатывающих станков с ЧПУ в цехах предприятия.,Высшее образование (профильное). Опыт работы по ремонту металлообрабатывающих станков с ЧПУ от 3-х лет.,,40000,40000,Омск,2022-12-20T13:23:56+0300
