name,description,key_skills,department,salary_from,salary_to,area.name,published_at
Аналитик проектов,Календарно-сетевое планирование во взаимодействии с производственными отделами и руководителями проектов. Накопление и систематизация данных по выполненным работам. ,Высшее образование (пррофильное в сфере аналитики). Опыт разработки сетевых моделей от 1 года. Опыт контроля исполнения бюджета. Знание методов мониторинга...,,50000,50000,Иркутск,2022-12-20T05:11:22+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Енисейск,2022-12-20T05:50:33+0300
"Сборщик панелей (СИП, ППУ, ППС)",Работа на линии по производству сэндвич-панелей. - резка минеральной ваты на ламели. - выборка четверти на фрезерном станке. - профилирование металла на...,Образование – не ниже среднего. - Опыт работы с металлом или на производственных станках от 1 года (желательно). - Тек кто не имеет...,,40000,,Артемовский (Свердловская область),2022-12-20T05:55:25+0300
Архитектор 1С,"Создание комплексной информационной системы на базе прикладных решений 1С (1С:ERP, 1С:ERP УХ, 1С:ЗУП...",Высшее образование (информационные технологии). Опыт работы от 3 лет. Желательно наличие сертификатов 1С.,,170000,175000,Новокузнецк,2022-12-20T05:11:01+0300
Разработчик радиоэлектронных устройств,Разработка радиоэлектронных устройств промышленной автоматики на основе микроконтроллеров.,Средне-специальное или высшее радиотехническое образование. Знание аналоговой и цифровой схемотехники. Знание элементной базы радиоэлектронных устройств. Умение разрабатывать электрические схемы...,,50000,,Омск,2022-12-20T05:31:15+0300
Токарь-универсал,"Работа на токарных станках 1К62, 16К20, ИЖ250. Работа с микрометром, штангенциркулем.",Паспорт. Подтверждение вашей квалификации в трудовой книжке или в трудовых договорах. Желание зарабатывать.,,120000,,Нижний Новгород,2022-12-20T05:43:11+0300
Старший инженер технической поддержки,"Разрабатывать методы мониторинга, управлять жизненным циклом мониторинга сетевых сервисов (постановка/изменение/снятие). Составлять и поддерживать в актуальном состоянии схем в...","Кандидата с высшим образованием по специальности инженер, инженер связи. Опытом работы в технической поддержке сетевой инфраструктуры (траблшутинг). Имеющего подготовку по...","{'id': 'mts-3776-main', 'name': '«МТС» '}",50000,,Новосибирск,2022-12-20T05:14:26+0300
Системный администратор,Эксплуатация существующей ЛВС в рамках принятой в Компании концепции. Качественная и оперативная техническая поддержка пользователей по вопросам ПО и оргтехники. ,Опыт работы в системном администрировании от 3 лет. Знание и понимание принципов работы сети в целом и сетевого оборудования в...,,50000,,Искитим,2022-12-20T05:03:20+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Норильск,2022-12-20T05:51:30+0300
Руководитель отдела разработки программного обеспечения,"Ведение IT - проектов: формализация целей, задач,по разработке и согласованию архитектуры решения, планирование, принятие оперативных решений, контроль выполнения задач по...","Необходимый минимум: - Знание методологий управления проектами, опыт управления персоналом в качестве Руководителя отдела, Менеджера, team lead. Знание современных подходов к...",,200000,250000,Екатеринбург,2022-12-20T05:34:08+0300
Backend-разработчик,разработка сложных веб-проектов / сайтов для челябинских и российских компаний. - разработка автоматизированных систем управления (корпоративные порталы со сложной интеграцией). - ,"Требования к навыкам: - работа с PHP, MySQL на продвинутом уровне. - опыт работы с продуктами 1С-Битрикс от 1,5...",,50000,,Челябинск,2022-12-20T05:42:59+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Минусинск,2022-12-20T05:51:53+0300
Специалист по техническому обслуживанию оборудования,"Проведение ремонта и планового технического обслуживания доильного оборудования. - Монтаж, пусконаладочные работы, техническое обслуживание доильных установок. - Составление установленной отчетности и ведение...","Готовность постоянно контактировать с животными (КРС). - Образование высшее техническое, средне-специальное (техническое). - Базовые знания гидравлики, пневматики, электроники и автоматики. - ",,60000,,Ирбит,2022-12-20T05:23:52+0300
Инженер по подключению и сопровождению корпоративных клиентов,Выполнять монтажные работы по прокладке кабелей. Производить монтаж и настройку оборудования. Осуществлять подключение и проверку работоспособности услуг. Передавать услуги в...,Высшее техническое образование. Опыт работы с оборудованием транспортных сетей. Опыт работы по монтажу и настройке оборудования. Знание основ ЛВС и...,"{'id': 'mts-3776-main', 'name': '«МТС» '}",60000,,Якутск,2022-12-20T05:15:34+0300
Оператор ЧПУ листогиб,,"ответственный подход к работе. - умение работать в режиме многозадачности. - грамотность, аккуратность и оперативность в работе. - соблюдение трудового распорядка. - ",,40000,,Арамиль,2022-12-20T05:04:54+0300
Архитектор 1С,"Создание комплексной информационной системы на базе прикладных решений 1С (1С:ERP, 1С:ERP УХ, 1С:ЗУП...",Высшее образование (информационные технологии). Опыт работы от 3 лет. Желательно наличие сертификатов 1С.,,170000,175000,Прокопьевск,2022-12-20T05:10:55+0300
Инженер по ремонту и обслуживанию оборудования,"Плановый ремонт оборудования. Модернизация оборудования. Выполнение производственных заданий. Обеспечение правильной эксплуатации оборудования. Участие в экспериментальных, наладочных и других работах по...","Пунктуальность, ответственность. Высшее техническое образование. Опыт обслуживания грузоподъемного оборудования. Предпочтителен опыт работы на предприятиях ЖБИ. Знание электротехники, пневматики, гидравлики.",,60000,,Краснообск,2022-12-20T05:07:05+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Лесосибирск,2022-12-20T05:53:50+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Сосновоборск,2022-12-20T05:55:09+0300
IT-специалист (Специалист отдела внедрения),Основная деятельность: - Оказание технической поддержки пользователей. - Принимать работы по фотоотчету монтажников. - Участие в проектной деятельности. - Сборка и подготовка IT оборудования...,"Навыки: - Знание торгового оборудования. - Знание торгового программного обеспечения УКМ5, Frontol. - Знание нормативов СКС, прокладка и чтение исполнительной документации. - ",,45000,,Екатеринбург,2022-12-20T05:54:25+0300
Токарь-универсал,"Работа на токарных станках 1К62, 16К20, ИЖ250. Работа с микрометром, штангенциркулем.",Паспорт. Подтверждение вашей квалификации в трудовой книжке или в трудовых договорах. Желание зарабатывать.,,120000,,Уфа,2022-12-20T05:44:59+0300
Шлифовщик,"Работа на станках ОШ400, 3Е711, С827, 3Е710В, 3А227П. ",Наличие документов (паспорт). Подтверждение вашей квалификации в трудовой книжке или в трудовых договорах. Желание зарабатывать.,,125000,,Красноярск,2022-12-20T05:53:32+0300
Системный администратор (Инженер-электронщик),"Техобслуживание оргтехники (замена расходных материалов). Мелкий ремонт оргтехники (чистка оптики, замена термопленки, замена роликов, перепрошивка и т.д.). ","Среднее техническое образование (Промышленная электроника, Информационные системы, Автоматизированные системы в управлении, Прикладная информатика). Опыт работы приветствуется. Знания и умения: Работа...",,45000,,Новокузнецк,2022-12-20T05:51:55+0300
Ведущий инженер сетей передачи данных ЦОД,"Администрировать, устранять неисправности и проведение восстановительных работ сетевой инфраструктуры ЦОД. Участвовать в проектах по модернизации и проектированию новых сегментов корпоративной...",Знание сетевых технологий на уровне не ниже CCNP (R&S). Опыт: администрирования сети на базе оборудования Cisco; работы с оборудованием...,"{'id': 'mts-3776-main', 'name': '«МТС» '}",86000,,Новосибирск,2022-12-20T05:14:43+0300
Стропальщик в цех по производству сэндвич-панелей,"Работа в цехе по производству панелей ППС, СИП и ППУ: приемка готовых панелей, зачистка, отгрузка в места складирования, перемещение материалов...","Образование – не ниже среднего. - Опыт работы от 1 года, наличие удостоверения стропальщика. - Внимание, ответственность, трудолюбие. - Желание работать и зарабатывать; внимательность...",,25000,30000,Артемовский (Свердловская область),2022-12-20T05:52:42+0300
"Инженер по слаботочным системам (СКС, ОПС, СКУД)","Руководство работами по монтажу систем охранной сигнализации, пожарной сигнализации, систем контроля управления доступом, систем видеонаблюдения, пожаротушения, оповещения людей о пожаре...","образование высшее (средне специальное) профильное. - опыт работы с системами охранной, пожарной‚ тревожной сигнализации‚ систем контроля доступа‚ видеонаблюдения, скс. - ",,65000,,Екатеринбург,2022-12-20T05:55:30+0300
